2,1,1200,9850,1,0,0, 4,7,1200,0,1921,0,473089,-122.21,1060,5095,189000,178,301886792453,0
3,2,1710,4697,1.5,0,0, 5,6,1710,0,1941,0,473048,-122218,1030,4705,233000,226,21359223301,0
3,1,1300,8316,1,0,0, 4,6,1300,0,1954,0,473221,-122216,1260,8316,225000,178,571428571429,0
4,2,2010,7312,1,0,0, 4,7,2010,0,1976,0,47.2785,-122213,2010,7650,250000,124,378109452736,1
3,2.5,1805,3402,2,0,0, 3,7,1805,0,2009,0,47.3521,-122212,2095,3402,266000,126,968973747017,1
3,1.5,1210,10588,1,0,0, 4,7,1210,0,1958,0,47.2876,-122212,1408,10588,200000,142,045454545455,1
3,1,1200,8316,1,0,0, 4,6,1200,0,1953,0,47.3221,-122215,1200,8316,214000,178,333333333333,0
3,1.75,1420,8738,1,0,0, 4,7,1420,0,1966,0,47.3113,-122207,1660,8738,234000,140,963855421687,1
2,1,1600,8961,1,0,0, 4,7,1390,210,1949,0,47.3098,-122.21,1502,6798,218500,145,472703062583,1
3,1,990,7420,1,0,0, 5,6,990,0,1960,0,47.2898,-122221,1010,7420,208000,205,940594059406,0
3,1.75,1320,10454,1,0,0, 4,7,1320,0,1968,0,47.2844,-122216,1680,10183,249950,148,779761904762,1
4,1.5,1600,9289,1,0,0, 4,7,1600,0,1959,0,47.3107,-122212,1540,9918,224000,145,454545454545,1
4,2,2460,5921,1,0,0, 4,7,1230,1230,1948,0,47308,-122209,1260,6648,247500,196,428571428571,0
3,1,1010,8581,1,0,0, 4,6,1010,0,1920,0,47.3043,-122216,1060,10354,180000,169,811320754717,0
4,2,1440,6702,1,0,0, 4,7,1440,0,1966,0,47.3056,-122217,1030,6702,176250,171,116504854369,0
6,2.75,3240,5750,1,0,0, 4,6,2160,1080,1950,0,47.3054,-122221,1230,5750,370000,300,813008130081,0
3,1.75,1770,8868,1,0,0, 4,7,1770,0,1959,0,47.3188,-122212,1630,9706,250000,153,374233128834,1
3,1,1020,6120,1,0,0, 4,7,1020,0,1967,0,47278,-122205,1370,8000,208000,151,824817518248,1
3,1.75,1070,8100,1,0,0, 4,6,1070,0,1957,0,47.2853,-122.22,1260,8100,183000,145,238095238095,1
2,2,1680,5756,2,0,0, 4,7,1680,0,1910,0,47.3065,-122222,1340,5447,210000,156,716417910448,1
6,3,2400,9373,2,0,0, 3,7,2400,0,1991,0,47.3262,-122214,2060,7316,280000,135,922330097087,1
6,3,2400,9373,2,0,0, 3,7,2400,0,1991,0,47.3262,-122214,2060,7316,300000,145,631067961165,1
2,1,1020,5130,1,0,0, 4,6,1020,0,1948,0,47301,-122226,1200,6497,175000,145,833333333333,1
3,1,1220,6000,1,0,0, 5,7,1220,0,1961,0,47.2811,-122214,1420,13137,161500,113,732394366197,1
3,2,1470,20000,1,0,0, 4,7,1470,0,1968,0,47.2973,-122.08,1390,30056,254600,183,165467625899,0
5,1.75,2140,12058,1,0,0, 4,8,2140,0,1951,0,47.3167,-122214,1640,10125,250750,152,896341463415,1
3,1.5,1070,6601,1,0,0, 3,6,1070,0,1985,0,47.3115,-122209,1030,6614,219950,213,543689320388,0
3,1.75,2190,6000,1.5,0,0, 4,7,2190,0,1920,0,47.3063,-122223,1610,6000,255000,158,385093167702,1
3,2,1850,8250,1,0,0, 4,7,1150,700,1952,0,47.3066,-122209,1580,7153,257200,162,784810126582,1
3,2,1200,6074,1,0,0, 3,7,1200,0,1968,0,47325,-122205,1430,6338,222000,155,244755244755,1
3,1,970,9360,1,0,0, 4,5,970,0,1942,0,47.2808,-122225,1050,11348,206000,196,190476190476,0
3,1,1220,6000,1,0,0, 4,7,1220,0,1968,0,47.3245,-122209,1420,6000,213500,150,352112676056,1
3,1,1260,7265,1,0,0, 4,7,1260,0,1954,0,47.2979,-122224,940,7200,188200,200,212765957447,0
1,0.75,760,5746,1,0,0, 4,5,760,0,1915,0,47.3046,-122215,970,6696,95000,97,9381443298969,1
4,2.25,2460,11250,1,0,0, 4,8,2460,0,1959,0,47.3182,-122212,1630,10216,276000,169,325153374233,0
3,1,920,7276,1,0,0, 4,6,920,0,1961,0,47285,-122211,1120,7276,125000,111,607142857143,1
4,1.5,2010,7561,1.5,0,0, 4,7,1890,120,1921,0,47311,-122227,1420,6564,245000,172,535211267606,0
5,2.5,2630,8470,1.5,0,0, 4,8,2630,0,1968,0,47.2863,-122196,1780,8575,270000,151,685393258427,1
3,1.75,1600,7500,1,0,0, 3,7,1600,0,1998,0,47.2831,-122199,1620,7461,285000,175,925925925926,0
3,1.5,1280,4366,2,0,0, 4,6,1280,0,1985,0,47335,-122215,1280,4366,183000,142,96875,1
2,1,920,5889,1,0,0, 4,6,920,0,1950,0,47.3012,-122218,1210,6180,156000,128,925619834711,1
4,1.75,1650,6900,1,0,0, 3,7,910,740,1978,1993,47.2802,-122211,1540,7645,238000,154,545454545455,1
3,2,1490,7929,1,0,0, 3,7,1490,0,1989,0,47.2875,-122218,1650,7929,245000,148,484848484848,1
3,1,1180,8775,1,0,0, 3,7,1180,0,1966,0,47.2848,-122223,1300,8100,190000,146,153846153846,1
3,1.75,2090,12026,1,0,0, 4,7,2090,0,1948,0,47.3095,-122217,1700,9496,248500,146,176470588235,1
3,1.75,1070,6110,1,0,0, 4,7,1070,0,1968,0,47.3249,-122207,1350,6148,195000,144,444444444444,1
3,1.75,1550,6225,1,0,0, 4,7,1550,0,1949,0,47.3098,-122218,1760,9496,199950,113,607954545455,1
3,1.5,1580,10517,1,0,0, 4,6,1580,0,1957,0,47.2903,-122214,1400,10658,233500,166,785714285714,0
3,1.5,1660,8738,1,0,0, 4,7,1080,580,1959,0,47.3117,-122208,1500,8466,235000,156,666666666667,1
2,1,720,4120,1,0,0, 5,5,720,0,1915,0,47303,-122217,940,6180,150000,159,574468085106,1
3,1.5,1280,5065,2,0,0, 4,6,1280,0,1983,0,47.3343,-122217,1070,4491,215000,200,934579439252,0
4,2,2060,6400,1,0,0, 3,7,1170,890,1977,0,47.2924,-122197,1890,8736,257500,136,243386243386,1
2,1,1060,6000,1,0,0, 4,5,1060,0,1908,0,47.3066,-122223,940,6000,111300,118,404255319149,1
1,1,690,6825,1,0,0, 4,5,690,0,1917,0,47.3109,-122225,1330,5381,142500,107,142857142857,1
